city, marital-status, age, gender, year, population
CC, Divorced, 0-4, F, 2006, 0
CC, Divorced, 0-4, M, 2006, 0
CC, Divorced, 10-14, F, 2006, 0
CC, Divorced, 10-14, M, 2006, 0
CC, Divorced, 15-19, F, 2006, 0
CC, Divorced, 15-19, M, 2006, 0
CC, Divorced, 20-24, F, 2006, 4
CC, Divorced, 20-24, M, 2006, 4
CC, Divorced, 25-29, F, 2006, 14
CC, Divorced, 25-29, M, 2006, 19
CC, Divorced, 30-34, F, 2006, 45
CC, Divorced, 30-34, M, 2006, 55
CC, Divorced, 35-39, F, 2006, 108
CC, Divorced, 35-39, M, 2006, 83
CC, Divorced, 40-44, F, 2006, 179
CC, Divorced, 40-44, M, 2006, 122
CC, Divorced, 45-49, F, 2006, 200
CC, Divorced, 45-49, M, 2006, 141
CC, Divorced, 5-9, F, 2006, 0
CC, Divorced, 5-9, M, 2006, 0
CC, Divorced, 50-54, F, 2006, 172
CC, Divorced, 50-54, M, 2006, 124
CC, Divorced, 55-59, F, 2006, 94
CC, Divorced, 55-59, M, 2006, 111
CC, Divorced, 60-64, F, 2006, 76
CC, Divorced, 60-64, M, 2006, 64
CC, Divorced, 65-69, F, 2006, 19
CC, Divorced, 65-69, M, 2006, 30
CC, Divorced, 70-74, F, 2006, 20
CC, Divorced, 70-74, M, 2006, 22
CC, Divorced, 75-79, F, 2006, 3
CC, Divorced, 75-79, M, 2006, 8
CC, Divorced, 80-84, F, 2006, 5
CC, Divorced, 80-84, M, 2006, 3
CC, Divorced, 85-and-more, F, 2006, 2
CC, Divorced, 85-and-more, M, 2006, 1
CC, Married, 0-4, F, 2006, 0
CC, Married, 0-4, M, 2006, 0
CC, Married, 10-14, F, 2006, 0
CC, Married, 10-14, M, 2006, 0
CC, Married, 15-19, F, 2006, 12
CC, Married, 15-19, M, 2006, 15
CC, Married, 20-24, F, 2006, 218
CC, Married, 20-24, M, 2006, 130
CC, Married, 25-29, F, 2006, 766
CC, Married, 25-29, M, 2006, 615
CC, Married, 30-34, F, 2006, 1320
CC, Married, 30-34, M, 2006, 1242
CC, Married, 35-39, F, 2006, 1791
CC, Married, 35-39, M, 2006, 1771
CC, Married, 40-44, F, 2006, 2355
CC, Married, 40-44, M, 2006, 2227
CC, Married, 45-49, F, 2006, 2398
CC, Married, 45-49, M, 2006, 2450
CC, Married, 5-9, F, 2006, 0
CC, Married, 5-9, M, 2006, 0
CC, Married, 50-54, F, 2006, 2186
CC, Married, 50-54, M, 2006, 2218
CC, Married, 55-59, F, 2006, 2150
CC, Married, 55-59, M, 2006, 2127
CC, Married, 60-64, F, 2006, 1913
CC, Married, 60-64, M, 2006, 1961
CC, Married, 65-69, F, 2006, 1674
CC, Married, 65-69, M, 2006, 1749
CC, Married, 70-74, F, 2006, 1231
CC, Married, 70-74, M, 2006, 1387
CC, Married, 75-79, F, 2006, 626
CC, Married, 75-79, M, 2006, 912
CC, Married, 80-84, F, 2006, 252
CC, Married, 80-84, M, 2006, 421
CC, Married, 85-and-more, F, 2006, 87
CC, Married, 85-and-more, M, 2006, 152
CC, Separated, 0-4, F, 2006, 0
CC, Separated, 0-4, M, 2006, 0
CC, Separated, 10-14, F, 2006, 0
CC, Separated, 10-14, M, 2006, 0
CC, Separated, 15-19, F, 2006, 0
CC, Separated, 15-19, M, 2006, 2
CC, Separated, 20-24, F, 2006, 9
CC, Separated, 20-24, M, 2006, 7
CC, Separated, 25-29, F, 2006, 46
CC, Separated, 25-29, M, 2006, 21
CC, Separated, 30-34, F, 2006, 106
CC, Separated, 30-34, M, 2006, 64
CC, Separated, 35-39, F, 2006, 199
CC, Separated, 35-39, M, 2006, 123
CC, Separated, 40-44, F, 2006, 301
CC, Separated, 40-44, M, 2006, 177
CC, Separated, 45-49, F, 2006, 410
CC, Separated, 45-49, M, 2006, 234
CC, Separated, 5-9, F, 2006, 0
CC, Separated, 5-9, M, 2006, 0
CC, Separated, 50-54, F, 2006, 336
CC, Separated, 50-54, M, 2006, 216
CC, Separated, 55-59, F, 2006, 275
CC, Separated, 55-59, M, 2006, 225
CC, Separated, 60-64, F, 2006, 162
CC, Separated, 60-64, M, 2006, 130
CC, Separated, 65-69, F, 2006, 118
CC, Separated, 65-69, M, 2006, 98
CC, Separated, 70-74, F, 2006, 54
CC, Separated, 70-74, M, 2006, 40
CC, Separated, 75-79, F, 2006, 17
CC, Separated, 75-79, M, 2006, 21
CC, Separated, 80-84, F, 2006, 10
CC, Separated, 80-84, M, 2006, 5
CC, Separated, 85-and-more, F, 2006, 2
CC, Separated, 85-and-more, M, 2006, 4
CC, Single, 0-4, F, 2006, 2791
CC, Single, 0-4, M, 2006, 2916
CC, Single, 10-14, F, 2006, 3087
CC, Single, 10-14, M, 2006, 3319
CC, Single, 15-19, F, 2006, 4460
CC, Single, 15-19, M, 2006, 4418
CC, Single, 20-24, F, 2006, 7284
CC, Single, 20-24, M, 2006, 6672
CC, Single, 25-29, F, 2006, 4980
CC, Single, 25-29, M, 2006, 5511
CC, Single, 30-34, F, 2006, 2480
CC, Single, 30-34, M, 2006, 3008
CC, Single, 35-39, F, 2006, 1275
CC, Single, 35-39, M, 2006, 1720
CC, Single, 40-44, F, 2006, 952
CC, Single, 40-44, M, 2006, 1081
CC, Single, 45-49, F, 2006, 704
CC, Single, 45-49, M, 2006, 786
CC, Single, 5-9, F, 2006, 2883
CC, Single, 5-9, M, 2006, 3168
CC, Single, 50-54, F, 2006, 484
CC, Single, 50-54, M, 2006, 707
CC, Single, 55-59, F, 2006, 419
CC, Single, 55-59, M, 2006, 541
CC, Single, 60-64, F, 2006, 369
CC, Single, 60-64, M, 2006, 421
CC, Single, 65-69, F, 2006, 340
CC, Single, 65-69, M, 2006, 354
CC, Single, 70-74, F, 2006, 353
CC, Single, 70-74, M, 2006, 286
CC, Single, 75-79, F, 2006, 376
CC, Single, 75-79, M, 2006, 184
CC, Single, 80-84, F, 2006, 351
CC, Single, 80-84, M, 2006, 114
CC, Single, 85-and-more, F, 2006, 258
CC, Single, 85-and-more, M, 2006, 89
CC, Widowed, 0-4, F, 2006, 0
CC, Widowed, 0-4, M, 2006, 0
CC, Widowed, 10-14, F, 2006, 0
CC, Widowed, 10-14, M, 2006, 0
CC, Widowed, 15-19, F, 2006, 2
CC, Widowed, 15-19, M, 2006, 0
CC, Widowed, 20-24, F, 2006, 10
CC, Widowed, 20-24, M, 2006, 8
CC, Widowed, 25-29, F, 2006, 22
CC, Widowed, 25-29, M, 2006, 26
CC, Widowed, 30-34, F, 2006, 26
CC, Widowed, 30-34, M, 2006, 32
CC, Widowed, 35-39, F, 2006, 42
CC, Widowed, 35-39, M, 2006, 22
CC, Widowed, 40-44, F, 2006, 61
CC, Widowed, 40-44, M, 2006, 30
CC, Widowed, 45-49, F, 2006, 114
CC, Widowed, 45-49, M, 2006, 36
CC, Widowed, 5-9, F, 2006, 0
CC, Widowed, 5-9, M, 2006, 0
CC, Widowed, 50-54, F, 2006, 154
CC, Widowed, 50-54, M, 2006, 76
CC, Widowed, 55-59, F, 2006, 269
CC, Widowed, 55-59, M, 2006, 111
CC, Widowed, 60-64, F, 2006, 422
CC, Widowed, 60-64, M, 2006, 149
CC, Widowed, 65-69, F, 2006, 662
CC, Widowed, 65-69, M, 2006, 202
CC, Widowed, 70-74, F, 2006, 853
CC, Widowed, 70-74, M, 2006, 253
CC, Widowed, 75-79, F, 2006, 928
CC, Widowed, 75-79, M, 2006, 260
CC, Widowed, 80-84, F, 2006, 831
CC, Widowed, 80-84, M, 2006, 235
CC, Widowed, 85-and-more, F, 2006, 762
CC, Widowed, 85-and-more, M, 2006, 183
