city, nationality, year, population
CC, Irish, 2006, 103621
CC, Lithuanian, 2006, 386
CC, Not stated, 2006, 1802
CC, Other EU25, 2006, 3134
CC, Polish, 2006, 2674
CC, Rest of World, 2006, 3828
CC, UK, 2006, 1777
DC, Irish, 2006, 406916
DC, Lithuanian, 2006, 2637
DC, Not stated, 2006, 10650
DC, Other EU25, 2006, 17567
DC, Polish, 2006, 10736
DC, Rest of World, 2006, 34739
DC, UK, 2006, 8310
GC, Irish, 2006, 57628
GC, Lithuanian, 2006, 532
GC, Not stated, 2006, 830
GC, Other EU25, 2006, 2464
GC, Polish, 2006, 2489
GC, Rest of World, 2006, 4267
GC, UK, 2006, 1597
LC, Irish, 2006, 46038
LC, Lithuanian, 2006, 241
LC, Not stated, 2006, 420
LC, Other EU25, 2006, 1190
LC, Polish, 2006, 1538
LC, Rest of World, 2006, 1746
LC, UK, 2006, 713
WC, Irish, 2006, 39860
WC, Lithuanian, 2006, 179
WC, Not stated, 2006, 777
WC, Other EU25, 2006, 839
WC, Polish, 2006, 662
WC, Rest of World, 2006, 1831
WC, UK, 2006, 961
